Company;Product;TypeName;ScreenResolution;Cpu;Ram;Memory;Gpu;Gpu_Intel;OpSys;Weight;Rating;Price_euros
HP;17-bs001nv (i5-7200U/6GB/2TB/Radeon;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;6;2048;AMD Radeon 520;no;Windows 10;2,71;8,2;699
Toshiba;Satellite Pro;Notebook;1366x768;Intel Core i3 7100U 2.4GHz;4;500;Intel HD Graphics 620;yes;Windows 10;2;7,1;489
HP;ProBook 470;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Nvidia GeForce 930MX;no;Windows 10;2,5;9,3;923
Dell;Inspiron 3567;Notebook;1366x768;Intel Core i3 7100U 2.4GHz;8;1024;Intel HD Graphics 620;yes;Windows 10;2,3;9,5;459
Acer;Aspire A315-51;Notebook;1366x768;Intel Core i3 6006U 2GHz;4;128;Intel HD Graphics 520;yes;Windows 10;2,1;5,2;449
MSI;GT80S 6QF-074US;Gaming;Full HD 1920x1080;Intel Core i7 6920HQ 2.9GHz;32;1536;Nvidia GTX 980 SLI;no;Windows 10;4,4;0;2799
Lenovo;V310-15IKB (i5-7200U/8GB/1TB;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;1152;AMD R17M-M1-70;no;Windows 10;1,9;6,4;813
HP;Spectre x360;2 in 1 Convertible;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,29;5,8;1499
Dell;Inspiron 5570;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;2304;AMD Radeon 530;no;Linux;2,02;5,7;1049
Dell;XPS 13;Ultrabook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,23;7,8;1399
Lenovo;Yoga 920-13IKB;2 in 1 Convertible;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16;512;Intel UHD Graphics 620;yes;Windows 10;1,4;9,5;1849
Toshiba;Satellite Pro;Notebook;1366x768;Intel Core i5 7200U 2.5GHz;8;128;Intel HD Graphics 620;yes;Windows 10;2;8,9;793
Dell;Inspiron 7773;Notebook;Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;16;512;Nvidia GeForce 150MX;no;Windows 10;2,77;6,5;1549
Dell;XPS 15;Notebook;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;16;512;Nvidia GeForce GTX 1050;no;Windows 10;2,06;6,2;2397
Acer;Swift 7;Ultrabook;IPS Panel Full HD 1920x1080;Intel Core i5 7Y54 1.2GHz;8;256;Intel HD Graphics 615;yes;Windows 10;1,12;8,4;989
Dell;Inspiron 5770;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;1152;AMD Radeon 530;no;Windows 10;2,8;9,3;1085
Lenovo;Thinkpad Yoga;2 in 1 Convertible;Other;Intel Core i7 7500U 2.7GHz;16;1024;Intel HD Graphics 620;yes;Windows 10;1,42;9,1;2824
Vero;K147 (N3350/4GB/32GB/FHD/W10);Notebook;IPS Panel Full HD 1920x1080;Intel Celeron Dual Core N3350 1.1GHz;4;32;Intel HD Graphics 500;yes;Windows 10;1,3;5,9;260
Dell;Inspiron 5379;2 in 1 Convertible;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8;1024;Intel UHD Graphics 620;yes;Windows 10;1,62;8,6;839
HP;ProBook 470;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1024;Nvidia GeForce 930MX;no;Windows 10;2,5;5,8;914
Razer;Blade Pro;Gaming;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7820HK 2.9GHz;32;1024;Nvidia GeForce GTX 1080;no;Windows 10;3,49;6,6;6099
HP;ProBook 430;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;512;Intel UHD Graphics 620;yes;Windows 10;1,49;7,5;959
HP;Omen 17-W295;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 1050;no;Windows 10;3,35;9,9;1379
HP;Probook 470;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Nvidia GeForce 930MX;no;Windows 10;2,5;9,6;1045
Dell;Inspiron 7577;Gaming;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;16;1536;Nvidia GeForce GTX 1060;no;Windows 10;2,65;5,4;1845
Lenovo;V110-15ISK (i5-6200U/4GB/128GB/W10);Notebook;1366x768;Intel Core i5 6200U 2.3GHz;4;128;Intel HD Graphics 520;yes;Windows 10;2,1;8,6;493
Acer;Aspire E5-576G;Notebook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;1024;Nvidia GeForce 940MX;no;Windows 10;2,23;9,6;742
Lenovo;Legion Y720-15IKB;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1536;Nvidia GeForce GTX 1060;no;Windows 10;3,2;10;1749
Dell;Precision 7520;Workstation;Other;Intel Xeon E3-1505M V6 3GHz;16;1280;Nvidia Quadro M1200;no;Windows 10;2,8;7,6;3055
Dell;Inspiron 3567;Notebook;Touchscreen 1366x768;Intel Core i3 7100U 2.4GHz;6;1024;Intel HD Graphics 620;yes;Windows 10;2,3;7,3;439
Dell;XPS 13;Ultrabook;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,21;6;1949
Dell;XPS 13;Ultrabook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,2;7,9;1449
Lenovo;IdeaPad 320-15IKBN;Notebook;1366x768;Intel Core i5 7200U 2.5GHz;8;256;Intel HD Graphics 620;yes;Windows 10;2,2;8;597
Acer;Aspire 7;Notebook;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1024;Nvidia GeForce GTX 1050;no;Linux;2,4;5,5;779
Asus;ROG GL703VD-GC028T;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 1050;no;Windows 10;2,9;6,1;1407
Huawei;MateBook X;Ultrabook;Other;Intel Core i7 7500U 2.7GHz;8;512;Intel HD Graphics 620;yes;Windows 10;1,05;6,6;1499
Dell;Inspiron 5370;Ultrabook;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;AMD Radeon 530;no;Windows 10;1,4;8,5;931,88
HP;Probook 440;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Nvidia GeForce 930MX;no;Windows 10;1,63;5,6;1031
Dell;Latitude 5490;Ultrabook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,6;8;1149
Dell;Inspiron 5379;2 in 1 Convertible;Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;16;512;Intel UHD Graphics 620;yes;Windows 10;1,62;9,4;1279
Dell;Inspiron 3576;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;AMD Radeon 520;no;Linux;2,2;5,3;677,35
Lenovo;Yoga 520-14IKB;2 in 1 Convertible;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,74;10;899
Toshiba;Portege Z30-C-16L;Ultrabook;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8;256;Intel HD Graphics 520;yes;Windows 10;1,2;7,1;1363
HP;ProBook 450;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1024;Intel UHD Graphics 620;yes;Windows 10;2,1;8;794
Dell;Alienware 17;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 1060;no;Windows 10;4,42;5,3;2456,34
Acer;Aspire E5-576G;Notebook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;Nvidia GeForce 940MX;no;Windows 10;2,2;6,4;832
Dell;Inspiron 5567;Notebook;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;16;1024;AMD Radeon R7 M445;no;Windows 10;2,3;7,5;859,01
Asus;Vivobook X541UV-DM1217T;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256;Nvidia GeForce 920MX;no;Windows 10;2;6,5;769
Asus;K756UX-T4340T (i5-7200U/8GB/500GB;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;756;Nvidia GeForce GTX 950M;no;Windows 10;2,69;5;891
HP;ZBook 15u;Notebook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;1024;AMD FirePro W4190M;no;Windows 10;1,9;6,8;1269
Asus;Pro P2540UA-XO0198T;Notebook;1366x768;Intel Core i3 7100U 2.4GHz;4;1024;Intel HD Graphics 620;yes;Windows 10;2,37;8,2;398,99
HP;15-rb013nv (E2-9000e/4GB/500GB/W10);Notebook;1366x768;AMD E-Series 9000e 1.5GHz;4;500;AMD Radeon R2;no;Windows 10;2,1;7;330
Lenovo;Legion Y720-15IKB;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 1060;no;Windows 10;3,2;5,7;1499
Dell;Vostro 5468;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,6;7,4;859
Acer;Aspire R7;2 in 1 Convertible;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 6200U 2.3GHz;8;256;Intel HD Graphics 520;yes;Windows 10;1,6;8,4;689
Dell;Inspiron 5567;Notebook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16;256;AMD Radeon R7 M445;no;Linux;2,36;7,1;899
Acer;Aspire A315-51;Notebook;1366x768;Intel Core i3 6006U 2GHz;4;1024;Intel HD Graphics 520;yes;Linux;2,1;8,7;390
Asus;X555QG-DM242T (A10-9620P/4GB/1TB;Notebook;Full HD 1920x1080;AMD A10-Series A10-9620P 2.5GHz;4;1152;AMD Radeon R5 M430;no;Windows 10;2,2;6,3;575
Asus;ROG G703VI-E5062T;Gaming;Full HD 1920x1080;Intel Core i7 7820HK 2.9GHz;32;1536;Nvidia GeForce GTX 1080;no;Windows 10;4,7;9,7;3890
Acer;Nitro AN515-51;Gaming;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;256;Nvidia GeForce GTX 1050;no;Windows 10;2,5;6,9;846
Lenovo;IdeaPad 320-15ISK;Notebook;1366x768;Intel Core i3 6006U 2GHz;8;128;Intel HD Graphics 520;yes;Windows 10;2,2;9,4;589
Asus;VivoBook Pro;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;1152;Nvidia GeForce 150MX;no;Windows 10;2,1;9;1145
Dell;Inspiron 5577;Gaming;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;256;Nvidia GeForce GTX 1050;no;Windows 10;2,56;6,9;879
Lenovo;Yoga 910-13IKB;2 in 1 Convertible;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,38;9,6;1079
Dell;Inspiron 5570;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;2176;AMD Radeon 530;no;Windows 10;2,2;8,7;985
HP;15-bs015dx (i5-7200U/8GB/1TB/W10);Notebook;Touchscreen 1366x768;Intel Core i5 7200U 2.5GHz;8;1024;Intel HD Graphics 620;yes;Windows 10;2,04;6,2;559
Asus;Rog G701VIK-BA060T;Gaming;Full HD 1920x1080;Intel Core i7 7820HK 2.9GHz;16;256;Nvidia GeForce GTX 1080;no;Windows 10;3,6;7,7;2999
HP;ProBook 430;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4;500;Intel UHD Graphics 620;yes;Windows 10;1,49;9,7;675
Apple;MacBook Pro;Ultrabook;Other;Intel Core i5 3.1GHz;8;512;Intel Iris Plus Graphics 650;yes;macOS;1,37;9,4;2040
Dell;Inspiron 5579;2 in 1 Convertible;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8;1024;Intel UHD Graphics 620;yes;Windows 10;2,08;7,6;819
Asus;ROG G752VSK-GC493T;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 980M;no;Windows 10;4,3;8,2;1799
Asus;X505BP-BR019T (A9-9420/4GB/1TB/Radeon;Notebook;1366x768;AMD A9-Series 9420 3GHz;4;1024;AMD Radeon R5 M420;no;Windows 10;1,68;6,8;469
Lenovo;Yoga 920-13IKB;2 in 1 Convertible;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8;512;Intel UHD Graphics 620;yes;Windows 10;1,37;9,8;1849
Acer;Aspire 5;Notebook;IPS Panel Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4;256;Nvidia GeForce MX130;no;Windows 10;3;9,9;702
Dell;Vostro 5370;Ultrabook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,41;5,2;949
HP;15-BW094nd (A6-9220/8GB/128GB/W10);Notebook;1366x768;AMD A6-Series A6-9220 2.5GHz;8;128;AMD Radeon R4 Graphics;no;Windows 10;1,91;9,4;445,9
HP;Envy 17-U275cl;Notebook;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;1024;Nvidia GeForce MX150;no;Windows 10;2,9;8,4;1059
MSI;GT73EVR 7RE;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1536;Nvidia GeForce GTX 1070;no;Windows 10;4,14;0;2499
Lenovo;Yoga 720-15IKB;2 in 1 Convertible;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;512;Nvidia GeForce GTX 1050M;no;Windows 10;2;8,1;1699
Dell;Inspiron 5770;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;1152;AMD Radeon 530;no;Windows 10;2,8;7,6;1142
HP;ProBook 450;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4;500;Intel HD Graphics 620;yes;Windows 10;2,1;7,2;722
Dell;Vostro 3568;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;1024;Intel HD Graphics 620;yes;Windows 10;2,18;7,8;657
Dell;Inspiron 3567;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;1024;AMD Radeon R5 M430;no;Windows 10;2,24;6,3;565
Dell;Inspiron 5579;2 in 1 Convertible;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;2,67;7,2;799
Asus;ZenBook Flip;2 in 1 Convertible;Full HD / Touchscreen 1920x1080;Intel Core i7 8550U 1.8GHz;8;1024;Intel UHD Graphics 620;yes;Windows 10;1,1;10;1499
HP;Probook 470;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;1024;Nvidia GeForce 930MX;no;Windows 10;2,5;8,9;1018
Lenovo;V330-15IKB (i7-8550U/8GB/256GB/FHD/W10);Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;2,05;7,1;880
Apple;MacBook Pro;Ultrabook;Other;Intel Core i5 2.9GHz;8;512;Intel Iris Graphics 550;yes;macOS;1,37;9,6;1958,9
Asus;Rog Strix;Gaming;Full HD 1920x1080;AMD Ryzen 1700 3GHz;16;1280;AMD Radeon RX 580;no;Windows 10;3,2;7,4;1549
Dell;Inspiron 3576;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;AMD Radeon 520;no;Linux;2,14;9,1;735,07
Lenovo;ThinkPad X1;2 in 1 Convertible;Other;Intel Core i7 6600U 2.6GHz;16;512;Intel HD Graphics 520;yes;Windows 10;1,36;7,8;2499
Toshiba;Satellite Pro;Notebook;1366x768;Intel Core i7 6500U 2.5GHz;8;500;Nvidia GeForce 930M;no;Windows 10;2,2;5,2;812
Dell;Inspiron 5567;Notebook;1366x768;Intel Core i7 7500U 2.7GHz;12;1024;Intel HD Graphics 620;yes;Windows 10;2,3;7,3;713,07
Dell;Inspiron 5770;Notebook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;1152;AMD Radeon 530;no;Linux;2,8;7,7;1099
Acer;Aspire A515-51G;Notebook;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;1024;Nvidia GeForce MX130;no;Windows 10;2,2;5;745
Lenovo;IdeaPad 320-17ISK;Notebook;1600x900;Intel Core i3 6006U 2GHz;4;1024;Intel HD Graphics 520;yes;Windows 10;2,8;9,3;489
Lenovo;IdeaPad 320-17IKB;Notebook;1600x900;Intel Core i7 7500U 2.7GHz;6;1152;Nvidia GeForce 940MX;no;Windows 10;2,8;9,5;859
Dell;Inspiron 3567;Notebook;Full HD 1920x1080;Intel Core i3 6006U 2.0GHz;4;1024;AMD Radeon R5 M430;no;Linux;2,25;7,2;428
Lenovo;Legion Y520-15IKBN;Gaming;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;256;Nvidia GeForce GTX 1050;no;Windows 10;2,5;6,4;829
Lenovo;Ideapad 320-15IKBN;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;6;256;Intel HD Graphics 620;yes;Windows 10;2,2;8,7;579
Acer;Aspire A517-51G;Notebook;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256;Nvidia GeForce MX150;no;Windows 10;3;8,6;951
Acer;SP315-51 (i7-7500U/12GB/1TB/FHD/W10);Notebook;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12;1024;Intel HD Graphics 620;yes;Windows 10;2,15;6,1;659
Lenovo;Thinkpad T570;Notebook;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;Intel HD Graphics 630;yes;Windows 10;1,95;7,7;1097
Asus;VivoBook S15;Ultrabook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256;Nvidia GeForce 940MX;no;Windows 10;1,7;9,3;977
Lenovo;Legion Y520-15IKBN;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 1050 Ti;no;Windows 10;2,5;5,4;1179
Acer;Chromebook C910-C2ST;Notebook;1366x768;Intel Celeron Dual Core 3205U 1.5GHz;2;16;Intel HD Graphics;yes;Chrome OS;2,19;5,9;199
Asus;FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1024;Nvidia GeForce GTX 1050;no;Windows 10;3;7,1;1187
HP;17-BS037cl (i3-6006U/8GB/1TB/W10);Notebook;1600x900;Intel Core i3 6006U 2GHz;8;1024;Intel HD Graphics 520;yes;Windows 10;2,54;6;489
Dell;XPS 15;Notebook;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256;Nvidia GeForce GTX 1050;no;Windows 10;2;9,1;1829
Lenovo;V330-15IKB (i5-8250U/8GB/256GB/FHD/W10);Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;2,05;9;739
Lenovo;Legion Y720-15IKB;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1024;Nvidia GeForce GTX 1060;no;Windows 10;3,2;7,6;1299
Acer;Aspire A715-71G;Notebook;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256;Nvidia GeForce GTX 1050 Ti;no;Linux;2,5;5,7;979
Dell;Precision 7720;Workstation;Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;16;256;Nvidia Quadro M1200;no;Windows 10;3,42;8,5;2884,86
Lenovo;IdeaPad 310-15ABR;Notebook;Full HD 1920x1080;AMD A10-Series 9600P 2.4GHz;6;1024;AMD Radeon R5 430;no;Windows 10;2,4;6,9;499
Asus;ZenBook UX530UQ-PRO;Ultrabook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16;512;Nvidia GeForce 940MX;no;Windows 10;1,63;9,6;1468
Asus;VivoBook S14;Notebook;1366x768;Intel Core i3 7100U 2.4GHz;4;128;Intel HD Graphics 620;yes;Windows 10;1,3;7,7;509
Asus;Rog GL702VS-GC095T;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 1070;no;Windows 10;2,9;6,8;2122
Lenovo;IdeaPad 320-17IKB;Notebook;1600x900;Intel Core i5 7200U 2.5GHz;6;1024;Nvidia GeForce GTX 940M;no;Windows 10;2,8;9;649
Asus;GL553VE-FY082T (i7-7700HQ/8GB/1TB;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1152;Nvidia GeForce GTX 1050 Ti;no;Windows 10;2,5;8,3;1265
HP;EliteBook x360;2 in 1 Convertible;Full HD / Touchscreen 1920x1080;Intel Core i7 7600U 2.8GHz;16;256;Intel HD Graphics 620;yes;Windows 10;1,28;9,4;1975
Toshiba;Satellite Pro;Notebook;IPS Panel Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8;256;Nvidia GeForce 930M;no;Windows 10;2,2;8,8;1043
Lenovo;IdeaPad 320-15IKB;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;1152;Nvidia GeForce 940MX;no;Windows 10;2,3;9,7;819
HP;250 G6;Notebook;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1024;Intel HD Graphics 520;yes;Windows 10;1,86;5;469
Lenovo;IdeaPad 720S-13IKB;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,1;9,4;999
Dell;XPS 13;Ultrabook;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16;1024;Intel UHD Graphics 620;yes;Windows 10;1,21;9,7;2499
MSI;GE63VR 7RF;Gaming;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;1280;Nvidia GeForce GTX 1070;no;Windows 10;2,8;0;2099
Acer;ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10);Notebook;Full HD 1920x1080;AMD A8-Series 7410 2.2GHz;8;256;AMD Radeon R5;no;Windows 10;2,23;5,3;469
Asus;VivoBook Flip;2 in 1 Convertible;Touchscreen 1366x768;Intel Celeron Dual Core N3350 1.1GHz;2;32;Intel HD Graphics 500;yes;Windows 10;1,1;5;275
Dell;Inspiron 5570;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1152;AMD Radeon 530;no;Windows 10;2,33;6,8;844
HP;Spectre x360;2 in 1 Convertible;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 8550U 1.8GHz;16;1024;Intel UHD Graphics 620;yes;Windows 10;1,29;9,5;2449
Lenovo;ThinkPad 13;Notebook;1366x768;Intel Celeron Dual Core 3855U 1.6GHz;4;16;Intel HD Graphics 510;yes;Chrome OS;1,45;9,1;459,9
HP;ProBook 640;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,95;7,3;980
Acer;TravelMate B;Notebook;1366x768;Intel Pentium Quad Core N3710 1.6GHz;4;128;Intel HD Graphics 405;yes;Windows 10;1,4;9,6;485
HP;Elitebook 840;Notebook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,48;7,4;1292
Lenovo;IdeaPad 320-17IKB;Notebook;1600x900;Intel Core i5 7200U 2.5GHz;4;1024;Nvidia GeForce 920MX;no;Windows 10;2,79;6,7;589
Asus;ZenBook UX410UA-GV183T;Notebook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;Intel HD Graphics 620;yes;Windows 10;2;5,5;1094
HP;ProBook 450;Notebook;Other;Intel Core i7 8550U 1.8GHz;8;1024;Intel UHD Graphics 620;yes;Windows 10;2,1;7,1;902
Acer;Aspire 5;Notebook;1366x768;AMD A12-Series 9720P 2.7GHz;8;256;AMD Radeon RX 540;no;Windows 10;2,2;6,5;659
Lenovo;IdeaPad 120S-14IAP;Notebook;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;32;Intel HD Graphics 500;yes;Windows 10;1,44;5,7;292
Acer;Aspire E5-575;Notebook;1366x768;Intel Core i5 7200U 2.5GHz;6;1024;Intel HD Graphics 620;yes;Windows 10;2,23;7,1;549
Asus;VivoBook S15;Ultrabook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;Nvidia GeForce 940MX;no;Windows 10;1,7;6,1;1049,9
HP;Elitebook 820;Ultrabook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,26;7,4;1335
Dell;XPS 15;Notebook;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;32;1024;Nvidia GeForce GTX 1050;no;Windows 10;2,06;7,2;2639
MSI;GL72M 7REX;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1280;Nvidia GeForce GTX 1050 Ti;no;Windows 10;2,7;0;1199
Toshiba;Satellite Pro;Notebook;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256;Intel HD Graphics 620;yes;Windows 10;2;9,8;943
Asus;UX510UX-CN269T (i7-7500U/8GB/256GB;Notebook;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;1280;Intel HD Graphics 620;yes;Windows 10;2;9;1334
Lenovo;V310-15ISK (i3-6006U/4GB/1TB/FHD/W10);Notebook;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1024;Intel HD Graphics 520;yes;Windows 10;1,85;6,4;449
Asus;FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce;Gaming;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256;Nvidia GeForce GTX 1050;no;Windows 10;2,5;6,4;999
HP;EliteBook 840;Notebook;Full HD 1920x1080;Intel Core i5 7300U 2.6GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,48;5,9;1268
Dell;Inspiron 7570;Ultrabook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1152;Nvidia GeForce 940MX;no;Windows 10;1,9;6,5;1049
HP;Elitebook 850;Notebook;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256;Intel HD Graphics 620;yes;Windows 10;1,84;8,2;1144
Asus;X541NA (N3350/4GB/1TB/Linux);Notebook;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;1024;Intel HD Graphics 500;yes;Linux;2;9,4;274,99
Dell;Inspiron 7570;Notebook;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Nvidia GeForce 940MX;no;Windows 10;2;5,6;1142,75
Dell;Inspiron 3552;Notebook;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4;500;Intel HD Graphics;yes;Linux;2,2;8,9;274,9
